;Estado;deaths_7d
0;AC;19.155497131507627
1;AL;68.71105952420513
2;AM;429.84596340266893
3;AP;33.38303161786553
4;BA;111.09821937001749
5;Brazil;6370.6971989590365
6;CE;499.1867107601246
7;DF;28.083069252374074
8;ES;89.46098725740788
9;GO;31.033988706793043
10;MA;183.11997099708717
11;MG;69.05024005781718
12;MS;8.374775248055768
13;MT;10.933016823980221
14;PA;211.28074590675723
15;PB;73.89265756832656
16;PE;705.362402102657
17;PI;29.32853565886403
18;PR;72.54211221845263
19;RJ;872.2579911345158
20;RN;2506.0203426868247
21;RO;19.90929384067233
22;RR;7.367498346218146
23;RS;40.49374417950831
24;SC;44.70601952563734
25;SE;15.867344825572356
26;SP;2407.913968280835
27;TO;4.410723314644323
