;Estado;cases_7d
0;AC;654.4421447935994
1;AL;1838.633928676255
2;AM;10297.44715130569
3;AP;2404.2883698558644
4;BA;5656.171241600992
5;Brazil;144884.09012065755
6;CE;15185.029484008202
7;DF;2898.2524914566106
8;ES;4146.296265469097
9;GO;1522.7715976147863
10;MA;6273.1282035909835
11;MG;3931.342907588191
12;MS;522.3225820972848
13;MT;653.6921238616359
14;PA;6079.268538214735
15;PB;1445.7880664565405
16;PE;13144.78974445555
17;PI;864.6731844400708
18;PR;2318.1002875242602
19;RJ;16291.888462573888
20;RN;1831.4220381746882
21;RO;1063.345433510337
22;RR;1208.1384637108956
23;RS;3040.350738548112
24;SC;3819.925202870834
25;SE;625.3430256259535
26;SP;41771.86634162219
27;TO;188.8074231266516
