;Estado;max_cases;diamax;datamax;totaldeaths
0;AC;3.9243888423958424;74;2020-06-01;230.09503007509784
1;AL;18.18378410544102;90;2020-06-06;987.8177851252789
2;AM;388.6800069243682;85;2020-06-08;15431.637438576035
3;AP;3.217981251358424;44;2020-05-03;124.70876637428869
4;BA;235.06409193954914;106;2020-06-20;9750.430151216773
5;Brazil;55136.919985395274;121;2020-06-26;2136176.4993208
6;CE;650.5104639887722;91;2020-06-16;30061.023091678173
7;DF;27.149776163122397;95;2020-06-10;1149.8995655900972
8;ES;25.151861674258498;87;2020-06-01;1147.364066862914
9;GO;62.71242401637528;104;2020-06-25;2961.1097428730072
10;MA;1185.2040354204692;95;2020-06-24;45952.71814930313
11;MG;244.95725859771574;105;2020-06-21;10009.936496290456
12;MS;17.16357421531677;106;2020-06-30;940.9460654991921
13;MT;14.542683887375176;123;2020-07-21;913.3625307222387
14;PA;1548.559684423657;104;2020-07-01;67587.72798098733
15;PB;244.29521460338856;99;2020-06-26;10596.62739331521
16;PE;169.09022660078426;80;2020-05-31;7622.626798714579
17;PI;70.62295759084759;103;2020-07-01;3619.746990280128
18;PR;150.95462530737223;108;2020-06-28;10859.206547364198
19;RJ;137.46225831060974;83;2020-05-27;6705.844935096426
20;RN;93.87464049773325;96;2020-06-17;3713.3444151788617
21;RO;12.252579151852444;84;2020-06-12;543.0055148353613
22;RR;3.456618702280821;80;2020-06-10;192.42572117656783
23;RS;102.70289432335699;103;2020-06-21;3858.4604832852497
24;SC;123.85562291116321;104;2020-06-25;5588.6666824582835
25;SE;17.025468889747003;93;2020-06-16;757.8795122397977
26;SP;393.62881544617994;85;2020-05-21;17654.147197499613
27;TO;7.361803102744375;104;2020-07-01;435.3973539145647
