;Cases;S;U;Q;I;uC;Rt;M;date
0;1.0;12425748.308606911;5.973285905553297;0.991349321599881;10.955209863491866;2.990574636338689;5.0;0.0;2020-03-06
1;1.1589062565365986;12425744.90104654;8.116450948869318;1.128249046255701;14.362770233193633;3.959163981532015;4.926939625533528;0.005337006715858537;2020-03-07
2;1.344100334918876;12425740.400042016;10.909234976686982;1.3426940909145022;18.863774755326936;5.267745352806577;4.85590984930171;0.011556913103470191;2020-03-08
3;1.5685594812981316;12425734.51729782;14.508727784665927;1.6524028610969346;24.746518951540885;7.016828824479895;4.786864768849848;0.019095571415429457;2020-03-09
4;1.8482437280004518;12425726.907252146;19.098529957531426;2.079306240399526;32.35656462455879;9.330484698627393;4.719759444326391;0.028489013407603816;2020-03-10
5;2.2027677399919336;12425717.16048353;24.890399006362195;2.6500331545051936;42.103333239569466;12.360133338710142;4.654549879071286;0.04039601489496105;2020-03-11
6;2.656144933874779;12425704.797405412;32.125357530824324;3.3963823562713427;54.46641135608763;16.28852653511718;4.591193000469734;0.05562308764406045;2020-03-12
7;3.23760043954557;12425689.262491653;41.07412833699638;4.355758612612485;70.00132511576305;21.333837726608618;4.529646641188697;0.07515178340704452;2020-03-13
8;3.982445585031913;12425669.919291036;52.036772749845916;5.571549194954813;89.34452573311647;27.75375820328383;4.469869520788155;0.10016806426581407;2020-03-14
9;4.933003095628788;12425646.046488281;65.3414274664247;7.093415723308146;113.21732848744199;35.84948220208035;4.411821227699919;0.13209337626066844;2020-03-15
10;6.139568326615187;12425616.83526174;81.34206063845305;8.977476068318705;142.4285550293077;45.96944999592075;4.355462201566698;0.17261693323850658;2020-03-16
11;7.661388089004314;12425581.388166793;100.4152004050585;11.28635211493668;177.8756499748768;58.51270936587733;4.300753715934236;0.22372859157856945;2020-03-17
12;9.567635179379355;12425538.719739405;122.95562808097142;14.089061614172152;220.54407736214068;73.93175248761774;4.247657861289547;0.28775158063610995;2020-03-18
13;11.938353684309918;12425487.758972052;149.37106870218167;17.460735782022546;271.50484471564914;92.73468654713501;4.1961375284383795;0.3673742516245895;2020-03-19
14;14.865347670234959;12425427.353760352;180.07595549973962;21.482149122464335;331.9100564149128;115.48660412247388;4.146156392215184;0.46567992504885536;2020-03-20
15;18.45298430613988;12425356.277360031;215.48438607123387;26.23905360387036;402.9864567381696;142.81003275692547;4.097678895518969;0.5861738642882758;2020-03-21
16;22.818881728623477;12425273.236828974;256.0024277935206;31.82131592045338;486.02698779454636;175.38436235194885;4.050670233668611;0.7328063781514281;2020-03-22
17;28.09445230697542;12425176.883364052;302.01996356046817;38.32186361975091;582.3804527175042;213.94417323030973;4.005096339071256;0.9099910669126619;2020-03-23
18;34.42527337268187;12425065.824379226;353.90229534135733;45.83545304206638;693.4394375432621;259.2764157871565;3.960923866197616;1.1226172735893776;2020-03-24
19;41.97125997857981;12424938.637111153;411.9817417411262;54.45727928050937;820.6267056167462;312.21642461653084;3.918120176858055;1.3760558862105259;2020-03-25
20;50.906617840462594;12424793.883486692;476.5494740350408;64.28145494044198;965.3803300773604;373.6427832614151;3.876653325773518;1.6761577573189455;2020-03-26
21;61.41955903072699;12424630.125944799;547.8478335108953;75.3993902684656;1129.1378719710297;444.4710891609417;3.8364920464354326;2.029244155291856;2020-03-27
22;73.71176833493739;12424445.94387221;626.0633622666782;87.89811210570188;1313.3199445594946;525.6467018521771;3.7976057372488503;2.442088841455614;2020-03-28
23;87.99761410660325;12424239.950293384;711.3207586045479;101.85856255261866;1519.313523386018;618.1365881222483;3.7599644479532177;2.9218915659477096;2020-03-29
24;104.50310381034022;12424010.80844797;803.6779395090234;117.3539202522079;1748.4553687994548;722.9204052278832;3.723538866315249;3.4762429887130533;2020-03-30
25;123.4645907498252;12423757.247894512;903.1223584622702;134.44798764285179;2002.0159222591483;840.9809854042009;3.688300305088511;4.113081243822209;2020-03-31
26;145.12724552182868;12423478.079796396;1009.5686834957413;153.193686566674;2281.1840203750544;973.2944047908105;3.6542206892344207;4.84064060190752;2020-04-01
27;169.74331113228823;12423172.211074522;1122.857901188457;173.6317017511402;2587.052742248431;1120.8198281765456;3.621272543399464;5.66739286669817;2020-04-02
28;197.57016717051744;12422838.657146454;1242.7578646561362;195.7893080999636;2920.606670315907;1284.48933038929;3.589428979643543;6.60198235860438;2020-04-03
29;228.8682328510045;12422476.55301853;1368.9652612702084;219.67941229705863;3282.710798239163;1465.1978918208915;3.558663685414474;7.653155486527572;2020-04-04
30;263.89874341633964;12422085.162543744;1501.1089348707837;245.29983328405228;3674.1012730253515;1663.7937614541756;3.528950911763742;8.829686066392355;2020-04-05
31;302.92143714212875;12421663.885712858;1638.7544597233787;272.6328394150576;4095.378103910971;1881.069367630406;3.50026546179871;10.140297637167485;2020-04-06
32;346.19219266925705;12421212.263897888;1781.4098321978363;301.64495283789273;4546.999918881518;2117.7529411765327;3.472582679366609;11.593584108586995;2020-04-07
33;393.9606572240914;12420729.983020017;1928.5321203312396;332.2870244682467;5029.280796751016;2374.500994727438;3.445878437965674;13.197930102834768;2020-04-08
34;446.4679063378634;12420216.874663612;2079.5348925642297;364.4945756912915;5542.389153157088;2651.8917785637036;3.420129129878939;14.961432354156862;2020-04-09
35;503.94417437788024;12419672.915207095;2233.7962342707183;398.1883956882929;6086.348609673491;2950.4198053366;3.395311655526255;16.891823486751477;2020-04-10
36;566.6066942088821;12419098.223054558;2390.6671609093155;433.2753811827073;6661.040762210757;3270.4915259098516;3.3714034130301593;18.996399457891112;2020-04-11
37;634.6576789814476;12418493.054163203;2549.4802212652685;469.64958827405894;7266.209653565895;3612.4221650451195;3.3483822879914444;21.28195177450692;2020-04-12
38;708.2824781187658;12417857.795972215;2709.5581187627363;507.1934798343312;7901.467844551146;3976.433767835313;3.3262266434701386;23.754705560378795;2020-04-13
39;787.6479340508519;12417192.95996221;2870.2221616463;545.7793325729624;8566.303854557056;4362.654426286941;3.304915310167882;26.420264365605338;2020-04-14
40;872.9009601781663;12416499.173043191;3030.8003912981876;585.2707722361885;9260.09077357431;4771.118649861767;3.2844275768076927;29.2835624062583;2020-04-15
41;964.1673584519123;12415777.167972919;3190.6352469610165;625.5244044940955;9982.095843848723;5201.768833941699;3.2647431807071836;32.34882485177452;2020-04-16
42;1061.5508886407526;12415027.773025094;3349.090642341079;666.3915072271813;10731.490791673625;5654.457753464612;3.2458422985413624;35.619536565458056;2020-04-17
43;1165.1325945109936;12414251.90112107;3505.558364993957;707.7197498527174;11507.36269569657;6128.951986338901;3.2277055372912837;39.09841947364762;2020-04-18
44;1274.970388307185;12413450.538619248;3659.46373143798;749.3549085527752;12308.72519751719;6624.936169219249;3.210313925374851;42.78741861013124;2020-04-19
45;1391.0988935482753;12412624.733954765;3810.270433501398;791.1425474239309;13134.529862000101;7142.017987526496;3.1936489039561087;46.68769683631655;2020-04-20
46;1513.529537001134;12411775.586309902;3957.4845568870956;832.9296369217424;13983.677506863256;7679.733776053285;3.1776923184294823;50.799637930242554;2020-04-21
47;1642.2508742633509;12410904.234450772;4100.657786832494;874.5660899757941;14855.029365993223;8237.554614921584;3.1624264100755766;55.12285752156505;2020-04-22
48;1777.229145961228;12410011.845902912;4239.389760556776;915.9061878112947;15747.417913851954;8814.892819522656;3.1478338078849406;59.656221771956496;2020-04-23
49;1918.409034810036;12409099.60654979;4373.329651301766;956.809885737759;16659.65726697478;9411.10869512522;3.133897520546615;64.39787280164211;2020-04-24
50;2065.7146112429823;12408168.710773243;4502.176990540134;997.1439818118338;17590.553043523483;10025.517459928531;3.120600928598115;69.34526044918246;2020-04-25
51;2219.0504438935473;12407220.352207746;4625.681793761434;1036.783139971633;18538.91160901959;10657.396231392973;3.1079277767338263;74.49517956800172;2020-04-26
52;2378.302855038141;12406255.715169055;4743.644041201812;1075.610761353644;19503.548647711257;11305.99099011766;3.0958621662695025;79.84381219153602;2020-04-27
53;2543.341289831271;12405275.966781164;4855.9126141202705;1113.5197058159788;20483.29703560318;11970.523425835661;3.0843885477535364;85.3867735202037;2020-04-28
54;2714.019789573546;12404282.249866279;4962.383702398815;1150.4128546092682;21477.013950489367;12650.197603907738;3.0734917137339197;91.11916140241011;2020-04-29
55;2890.178536218624;12403275.67658231;5062.99879425025;1186.2035246900432;22483.587234457373;13344.206379298457;3.0631567916692157;97.03560820817492;2020-04-30
56;3071.645447357914;12402257.322801;5157.74231995871;1220.815740226624;23501.941015770382;14051.737508227134;3.0533692369810628;103.13033439809956;2020-05-01
57;3258.237802411096;12401228.223241754;5246.639004866414;1254.1843641167143;24531.040575014806;14771.979403620584;3.0441148262510254;109.3972031404095;2020-05-02
58;3449.763877659594;12400189.367240353;5329.751033701957;1286.2551162795203;25569.89657641604;15504.126548774966;3.035379650540203;115.8297752249947;2020-05-03
59;3646.0245786805967;12399141.695328083;5407.175019456583;1316.9844506637598;26617.568488685138;16247.384439884196;3.027150108869005;122.42136389014554;2020-05-04
60;3846.8150421013806;12398086.096348442;5479.038921712664;1346.3393490033222;27673.16746832577;17000.974155508404;3.019412901807816;129.16508861888371;2020-05-05
61;4051.926201103165;12397023.405212065;5545.498911968991;1374.297013907147;28735.858604702094;17764.13647772279;3.012155025205148;136.05392771778935;2020-05-06
62;4261.146298427361;12395954.401202997;5606.736252003594;1400.84448241172;29804.862613772795;18536.13558093012;3.0053637640416393;143.08076913264978;2020-05-07
63;4474.262335804059;12394879.806790143;5662.954225405729;1425.9781724806223;30879.457026625423;19316.26229293501;2.9990266864079644;150.23845912879312;2020-05-08
64;4691.061448917418;12393800.286902603;5714.375160781142;1449.7033740034549;31958.97691416607;20103.836930464055;2.9931316376065995;157.51984847051284;2020-05-09
65;4911.332214012444;12392716.448561106;5761.237556306673;1472.0337011222055;33042.815255663576;20898.21178422225;2.9876667343568664;164.91783630460856;2020-05-10
