;Estado;cases_7d
0;AC;1240.309271389799
1;AL;3216.2081853332643
2;AM;16786.23038523703
3;AP;3442.8897349642107
4;BA;9214.824256340244
5;Brazil;211634.17131669997
6;CE;19436.097003167204
7;DF;2603.215536593373
8;ES;5673.070314220898
9;GO;1528.8921952983137
10;MA;9065.104976837529
11;MG;4924.552795395503
12;MS;639.3738453705978
13;MT;789.464097964855
14;PA;9556.98005076042
15;PB;2203.034770550412
16;PE;19416.06749518708
17;PI;1158.0631402187134
18;PR;3285.888590307481
19;RJ;27154.26371801044
20;RN;3155.958515975205
21;RO;1573.2052357265436
22;RR;1918.5947930212367
23;RS;3239.261406358917
24;SC;5170.474158051011
25;SE;1200.6752678068801
26;SP;75830.33323011901
27;TO;580.1990451971724
