;Estado;max_cases;diamax;datamax;totaldeaths
0;AC;3.9644683682705875;60;2020-05-18;182.85501165214725
1;AL;26.34903136786579;86;2020-06-02;1477.3218150361581
2;AM;706.7559748338099;104;2020-06-27;54537.86229739882
3;AP;28.37248587554518;79;2020-06-07;1674.785572346781
4;BA;33.98734210107318;76;2020-05-21;1516.65164601007
5;Brazil;5531.365898680873;159;2020-08-03;888062.7067338374
6;CE;328.92124640840484;109;2020-07-04;38450.37584219047
7;DF;3.5183557282436766;79;2020-05-25;274.4233188696396
8;ES;18.34900276862402;87;2020-06-01;1280.09733755498
9;GO;9.401240249376315;117;2020-07-08;1586.5689160554534
10;MA;104.58628217567502;91;2020-06-20;10093.800264679712
11;MG;259.01490851498966;259;2020-11-22;61050.065390270596
12;MS;11.857443517129468;139;2020-08-02;1803.754401575188
13;MT;8.643683182574478;155;2020-08-22;2161.9288866219026
14;PA;252.5898518167578;97;2020-06-24;20683.626799089845
15;PB;54.4063823476713;127;2020-07-24;9057.748297757991
16;PE;216.90905511384608;83;2020-06-03;13875.819651977381
17;PI;20.58639879061434;179;2020-09-15;5238.065022931538
18;PR;31.572942484456917;120;2020-07-10;4852.879247764589
19;RJ;1182.68438195013;123;2020-07-06;110347.20032980831
20;RN;10.656283038627436;64;2020-05-16;464.55858121599385
21;RO;16.688515335592115;100;2020-06-28;1534.1278180207105
22;RR;4.181734851015122;67;2020-05-28;204.0224876530945
23;RS;22.33553912796583;125;2020-07-13;3699.3288995788175
24;SC;43.55125587615089;119;2020-07-10;5010.159135838831
25;SE;5.581495091875297;83;2020-06-06;379.05826800170234
26;SP;518.3026941435801;82;2020-05-18;23358.94156041769
27;TO;8.911227106417584;93;2020-06-20;557.7406346383165
