;Estado;max_cases;diamax;datamax;totaldeaths
0;AC;7.567276019144117;69;2020-05-27;387.6829474749486
1;AL;178.2456569013366;112;2020-06-28;11796.47454707794
2;AM;1083.8073414055216;96;2020-06-19;65375.327779559564
3;AP;25.65696212418794;70;2020-05-29;1200.7787711038295
4;BA;172.9045899161606;98;2020-06-12;9426.469217723956
5;Brazil;46355.91790110245;153;2020-07-28;3705517.3942693938
6;CE;54.54945735797321;49;2020-05-05;2506.743283665125
7;DF;4.110354234235928;81;2020-05-27;364.71571575495835
8;ES;19.88335318239291;70;2020-05-15;794.5804991496727
9;GO;226.51230163596665;237;2020-11-05;34293.0582973054
10;MA;744.4497728002461;88;2020-06-17;40354.23808366584
11;MG;15.882141687284673;88;2020-06-04;1298.3204152886988
12;MS;4.294365592181606;95;2020-06-19;417.42316252325827
13;MT;1.688126907810485;74;2020-06-02;155.43122024873497
14;PA;1103.6120695870923;111;2020-07-08;79385.67216145173
15;PB;856.2453562345836;121;2020-07-18;64668.56707535051
16;PE;1306.7075084666285;115;2020-07-05;99051.61217044777
17;PI;99.68999603404245;108;2020-07-06;7478.406601813829
18;PR;10.545607896362526;75;2020-05-26;888.5085974746312
19;RJ;4228.91857319494;144;2020-07-27;366619.46664834453
20;RN;50.92729314159283;92;2020-06-13;3200.67112970198
21;RO;86.08687864096692;123;2020-07-21;7557.76334843542
22;RR;4.414678638321163;67;2020-05-28;210.40332849471557
23;RS;30.019818421686068;109;2020-06-27;3182.146197331159
24;SC;118.58182754306108;145;2020-08-05;13309.557978423427
25;SE;42.74160788702238;102;2020-06-25;2734.45551291194
26;SP;294.112953062423;73;2020-05-09;11242.441747720028
27;TO;41.42092518011577;106;2020-07-03;2638.3863887094644
