;Estado;cases_7d
0;AC;1395.142559594274
1;AL;3495.380590204705
2;AM;18750.734858174408
3;AP;4300.186729931482
4;BA;10579.664812717321
5;Brazil;218496.29276316462
6;CE;16892.159350998456
7;DF;2811.149653128119
8;ES;7524.347855049861
9;GO;1633.6519826425024
10;MA;13349.57795712332
11;MG;4844.110735749931
12;MS;637.4001337416888
13;MT;677.3026967081797
14;PA;10220.78002800501
15;PB;3045.1636012117983
16;PE;19764.71618637478
17;PI;1762.9150335412342
18;PR;2676.684122157098
19;RJ;26434.96430910565
20;RN;3443.245744578771
21;RO;1688.6718235886078
22;RR;2014.4063348202105
23;RS;3854.1344599097947
24;SC;5017.615910612455
25;SE;1572.3831043611115
26;SP;67677.5691632096
27;TO;616.3578274771684
