;Estado;deaths_7d
0;AC;57.249770942679206
1;AL;164.4342373412421
2;AM;1559.9101986183896
3;AP;130.66696710918526
4;BA;373.4018072490428
5;Brazil;17823.002080550305
6;CE;1100.9647895896155
7;DF;67.46829487108323
8;ES;253.99927983081685
9;GO;60.056817056807844
10;MA;774.4134991999323
11;MG;173.30237927297358
12;MS;25.572546800204034
13;MT;22.578613132892514
14;PA;721.9834808639912
15;PB;234.5775183905138
16;PE;1646.50141730245
17;PI;80.3500983634667
18;PR;184.13598723132102
19;RJ;2461.332456917628
20;RN;170.03311465763232
21;RO;52.14766490223235
22;RR;26.513866972503692
23;RS;141.82809464597366
24;SC;133.72308805053362
25;SE;44.44689690996439
26;SP;5474.436875555123
27;TO;13.705223072061186
