;Estado;max_cases;diamax;datamax;totaldeaths
0;AC;4.444932610999572;63;2020-05-21;219.12931597531417
1;AL;11.067035192003715;73;2020-05-20;523.6253449681136
2;AM;38.92269689933539;58;2020-05-12;1966.1903561134643
3;AP;4.031617637527447;58;2020-05-17;227.7825787658589
4;BA;10.403993457335048;78;2020-05-23;733.3411615096054
5;Brazil;409.5035241970818;76;2020-05-12;23951.677423107474
6;CE;36.12111706771532;54;2020-05-10;1972.1095560404003
7;DF;2.502980796336317;66;2020-05-12;146.02752210854518
8;ES;14.046719564062528;83;2020-05-28;934.737019018184
9;GO;1.5623135888853383;52;2020-05-04;89.74241626681099
10;MA;29.197623339997335;62;2020-05-22;1714.316018191321
11;MG;3.4055988557689005;53;2020-04-30;178.53784506135028
12;MS;0.5071219611333841;54;2020-05-09;34.10053171304023
13;MT;1.2434395975837873;64;2020-05-23;87.12274359383272
14;PA;140.79018029324197;84;2020-06-11;9346.517249536353
15;PB;6.921163308089604;56;2020-05-14;376.42913464840376
16;PE;58.12275489724311;63;2020-05-14;3002.678802512287
17;PI;5.6291153851423985;80;2020-06-08;455.60641040495085
18;PR;7.283469690943036;58;2020-05-09;359.27997490327795
19;RJ;79.31615688844681;71;2020-05-15;4526.275833089657
20;RN;4.88348361962116;68;2020-05-20;339.8231725132557
21;RO;7.2641374461570365;79;2020-06-07;488.635758754152
22;RR;0.868935215800235;54;2020-05-15;46.688164882706396
23;RS;2.8625753182950007;56;2020-05-05;161.82610435665532
24;SC;3.321067713749116;57;2020-05-09;195.243843583902
25;SE;6.203105851999396;98;2020-06-21;541.4248304537332
26;SP;172.7892202250864;71;2020-05-07;7042.885371680627
27;TO;2.1532173102099676;74;2020-06-01;112.14078391474773
