;Estado;cases_7d
0;AC;1214.1018460922462
1;AL;2819.270962437342
2;AM;9853.17328710138
3;AP;2393.936979307933
4;BA;5530.307053409586
5;Brazil;147022.94452782653
6;CE;13514.434842332601
7;DF;2704.359694288114
8;ES;5383.475836433068
9;GO;1158.7305017545814
10;MA;7470.539735579085
11;MG;2859.6391360260272
12;MS;424.72298712204224
13;MT;642.7708605324939
14;PA;9139.967851905853
15;PB;1639.6585331607612
16;PE;13935.513190191567
17;PI;1154.8770084370433
18;PR;2656.172777006
19;RJ;18504.87041079749
20;RN;2119.8277966019878
21;RO;1508.6861567865835
22;RR;1185.4822726628888
23;RS;2493.369957108093
24;SC;3303.194076889604
25;SE;1105.3587375315685
26;SP;73285.7370906258
27;TO;523.4376759981801
