;Estado;deaths_7d
0;AC;51.571992310622186
1;AL;133.30782988048966
2;AM;816.8303115991631
3;AP;71.47891195039568
4;BA;192.0126391138455
5;Brazil;10038.261307819304
6;CE;876.1293456925275
7;DF;59.622537203159816
8;ES;182.59034852941917
9;GO;47.57553583454752
10;MA;413.9477502816205
11;MG;112.51128205721494
12;MS;14.79678948646791
13;MT;21.648637366986605
14;PA;643.0337177537142
15;PB;135.74778350936123
16;PE;1134.8752626233736
17;PI;54.222695883154316
18;PR;172.86847838780716
19;RJ;1671.7666128364676
20;RN;100.98770183609363
21;RO;47.08992425625642
22;RR;15.933707478411474
23;RS;83.84186919127731
24;SC;88.10693806192698
25;SE;32.389555266871255
26;SP;3652.0191745045945
27;TO;11.569381849251414
