;Estado;deaths_7d
0;AC;43.750774737313954
1;AL;155.45947251924153
2;AM;867.2907381128923
3;AP;75.9958326219273
4;BA;277.80035366517313
5;Brazil;12074.619330441485
6;CE;993.1701029218556
7;DF;59.254979782118646
8;ES;226.35003331082228
9;GO;43.25278572659669
10;MA;483.13231597101264
11;MG;147.0473979836574
12;MS;14.7028548257418
13;MT;17.275702362877322
14;PA;651.8972192070324
15;PB;134.15926797621796
16;PE;1632.3992065329894
17;PI;48.59604196596449
18;PR;133.37664248274163
19;RJ;1374.0540804988698
20;RN;98.08401059894271
21;RO;49.899404252052285
22;RR;16.76512275150662
23;RS;70.97840412160305
24;SC;87.58078224212524
25;SE;32.047635157104175
26;SP;3621.8956742885175
27;TO;12.309614662811668
