;Cases;S;U;Q;I;uC;Rt;M;date
0;5.0;7143464.614296684;40.68437137133778;5.34139852813123;65.93333562296564;14.907565723496633;5.0;0.0;2020-03-17
1;7.33116497619276;7143442.554609078;56.40430678034959;4.144114652855306;87.99302322349507;20.11343681409741;4.8709097400194254;0.1562967435778352;2020-03-18
2;9.278380104511719;7143413.045322535;77.18477305647579;3.7580716390973765;117.50230976712689;27.281084967042;4.746637150444822;0.2868509457513773;2020-03-19
3;11.188355202767653;7143374.061531525;104.30292693973631;3.9702964754604473;156.48610077535625;37.02452215739186;4.626983380674041;0.41490832960059065;2020-03-20
4;13.330780809830623;7143323.177545838;139.25439738533;4.67744248838479;207.37008646270982;50.1074657791644;4.511758637497539;0.5585507355055511;2020-03-21
5;15.942580940896402;7143257.52568207;183.76492404647817;5.8468252600750175;273.02195023133174;67.46761998388216;4.400781738440642;0.7336631190265319;2020-03-22
6;19.256884070362467;7143173.759067818;239.79678172104533;7.492955184308686;356.788564484557;90.2419435088405;4.2938796882108585;0.9558759575238704;2020-03-23
7;23.52278216393024;7143068.020324592;309.54888493894913;9.66336087016539;462.5273077107346;119.79227973768984;4.190887277186067;1.2418900265703527;2020-03-24
8;29.019500130121884;7142935.917989993;395.449609355914;12.42992055804021;594.6296423089848;157.73061226490876;4.091646700755786;1.6104264138511197;2020-03-25
9;36.06710421812439;7142772.512445385;500.141574307404;15.883392273765619;758.0351869172359;205.94311611794186;3.9960071983933654;2.082944481096459;2020-03-26
10;45.034967697018025;7142572.312934864;626.4578946127479;20.129728739857235;958.2346974377031;266.61210638807995;3.9038247113978635;2.6842094593009755;2020-03-27
11;56.3486520676059;7142329.286995207;777.3897199464847;25.28731526148222;1201.260637093966;342.23494981839303;3.8149615583033523;3.442753810751507;2020-03-28
12;70.49552371956423;7142036.883278395;956.045220569086;31.48460670990778;1493.6643539060442;435.6390029074861;3.729286127008038;4.391253806931891;2020-03-29
13;88.0292205429474;7141688.068353034;1165.6005304883631;38.857852823811534;1842.4792792673552;549.9916754122332;3.6466725827310045;5.566828999748797;2020-03-30
14;109.57296575634459;7141275.377609524;1409.2435195555802;47.548736366019426;2255.1700227755623;688.804801097618;3.567000590932496;7.011264402524907;2020-03-31
15;135.82165737057682;7140790.979984527;1690.1115681366737;57.701836683751566;2739.5676477727684;855.9325855817663;3.490155054435611;8.771150581487511;2020-04-01
16;167.54264134097005;7140226.755674945;2011.2248417444057;69.46189121270177;3303.7919573548907;1055.5625830568135;3.4160258639451566;10.897935493018894;2020-04-02
17;205.57506544181845;7139574.385647287;2375.416765810003;82.97086738916009;3956.1619850132984;1292.199286372317;3.3445076612887696;13.44788116311987;2020-04-03
18;250.82772925776254;7138825.451288233;2785.263593569014;98.3648868624757;4705.096344066791;1570.6401343775387;3.2754996146895516;16.48191953658836;2020-04-04
19;304.27537836807323;7137971.542174944;3243.015036880556;115.77106317011412;5559.005457355933;1895.943978937189;3.2089052053834015;20.06540401458336;2020-04-05
20;366.95339370622565;7137004.369811902;3750.527984979473;135.30432482151053;6526.177820397493;2273.3921168902834;3.1446320251542548;24.26775339410869;2020-04-06
21;439.95092704845507;7135915.884633075;4309.205235091019;157.06431185821165;7614.662999223393;2708.442525225707;3.082591583910435;29.16199162568956;2020-04-07
22;524.4025097266867;7134698.393889506;4919.941048784196;181.13242002749823;8832.153742791555;3206.6777642531742;3.0226991270407098;34.82418520589649;2020-04-08
23;621.4782375877026;7133344.677675915;5583.075186593351;207.5690851917749;10185.869956383198;3773.7474470103707;2.964873461926055;41.33278511198495;2020-04-09
24;732.3726776709366;7131848.100538577;6298.3567619517635;236.41138010954913;11682.447093720584;4415.306273988336;2.9090367931162695;48.767883032083255;2020-04-10
25;858.2926602998009;7130202.716307669;7064.91896537561;267.6709934541975;13327.831324629671;5136.948705500064;2.8551145657487256;57.21039286611986;2020-04-11
26;1000.4441767102365;7128403.363699444;7881.265508619988;301.33265798460576;15127.183932854006;5944.141589539175;2.8030353167349107;66.74117225604027;2020-04-12
27;1160.0186082703872;7126445.750970407;8745.269067740093;337.3530591715826;17084.79666189101;6842.155926708948;2.7527305333526226;77.44009930146504;2020-04-13
28;1338.178538938674;7124326.527837141;9654.18185090586;375.6602696098499;19204.019795156244;7835.999135701862;2.704134518828108;89.38512133288883;2020-04-14
29;1536.043417347042;7122043.343393463;10604.657993148325;416.15372294449094;21487.204238835562;8930.349105395704;2.6571842645522987;102.65129360275526;2020-04-15
30;1754.675343908994;7119594.8891165545;11592.78717886953;458.70472153014975;23935.658515743722;10129.49127143505;2.611819328584963;117.30982635902122;2020-04-16
31;1995.0652442090945;7116980.926401498;12614.138591873361;503.1574778437755;26549.621230800658;11437.25991687443;2.5679817201122606;133.42715781759034;2020-04-17
32;2258.119689641549;7114202.298505298;13663.814078538178;549.3306492539131;29328.249126999795;12856.984709566157;2.5256157895606024;151.06407053061247;2020-04-18
33;2544.6485985726154;7111260.927067763;14736.509196602305;597.0193403756637;32269.620564534576;14391.443428983992;2.484668124065215;170.2748667909337;2020-04-19
34;2855.3540462448477;7108159.7937736595;15826.580658602812;645.9975105027834;35370.75385863777;16042.821643287325;2.44508744801989;191.10661837394468;2020-04-20
35;3190.820371202275;7104902.907965109;16928.11858631313;696.0207368966471;38627.639667188836;17812.67997277679;2.4068245284443526;213.5985032067812;2020-04-21
36;3551.5057340806497;7101495.261361839;18035.021954265605;746.829261126222;42035.28627045878;19701.929320986306;2.369832084913556;237.7812394137009;2020-04-22
37;3937.7352595279026;7097942.771130416;19141.075607676456;798.1512545082978;45587.77650188218;21710.81438016953;2.3340647038325604;263.6766255049968;2020-04-23
38;4349.695858658872;7094252.212784483;20240.027252351716;849.7062267741231;49278.334847815;23838.905510030287;2.2994787568395356;291.29719324006226;2020-04-24
39;4787.432745798743;7090431.144680042;21325.662979927394;901.2085056563001;53099.40295225681;26085.09872087437;2.2660323230403914;320.64597408679504;2020-04-25
40;5250.847721837497;7086487.825481475;22391.87990981596;952.370722748808;57042.72215082334;28447.623796421074;2.233685115006292;351.71638412630676;2020-04-26
41;5739.6991998603235;7082431.126381078;23432.75470280009;1002.907233807987;61099.42125122022;30924.060114751817;2.2023984083098664;384.4922257713563;2020-04-27
42;6253.603895092845;7078270.439878339;24442.60695154941;1052.5374063105703;65260.10775395915;33511.35950100633;2.172134974346149;418.9478010714723;2020-04-28
43;6792.040109137205;7074015.586595059;25416.05658062001;1100.9887354362465;69514.96103723839;36205.87561204493;2.1428590163215375;455.04813190989904;2020-04-29
44;7354.352522083012;7069676.721647025;26348.07454798081;1147.9997295267908;73853.82598527306;39003.39918568245;2.1145361082559666;492.7492812984601;2020-04-30
45;7939.75837173966;7065264.241992867;27234.026322141293;1193.322525752533;78266.30563943135;41899.19841979786;2.0871331368583306;531.9987676742301;2020-05-01
46;8547.354900436576;7060788.696073019;28069.707681791206;1236.7252017605492;82741.85155927824;44888.0637752899;2.0606182461851255;572.7360641823568;2020-05-02
