;Estado;max_cases;diamax;datamax;totaldeaths
0;AC;30.908710328773623;217;2020-10-22;2526.643679959226
1;AL;182.4176245255694;107;2020-06-23;20405.8966650064
2;AM;1318.5182547139557;258;2020-11-28;49684.82586906495
3;AP;79.2380045340376;282;2020-12-27;3343.7046392423485
4;BA;1146.5053496400178;223;2020-10-15;63981.84559317501
5;Brazil;35816.39954912674;195;2020-09-08;1889406.8638272784
6;CE;2221.1466457002607;263;2020-12-05;88951.52967227364
7;DF;0.9946342875113938;36;2020-04-12;32.79626390798318
8;ES;182.8712227643009;139;2020-07-23;12533.895499346014
9;GO;941.5692632351493;296;2021-01-03;34743.44235822737
10;MA;2093.299694965219;283;2020-12-29;69306.04371886246
11;MG;2892.0586299881397;365;2021-03-08;114014.05725497488
12;MS;277.9487553906365;360;2021-03-11;11524.40465870525
13;MT;614.6419442146798;357;2021-03-12;21247.461797157317
14;PA;715.790243039246;125;2020-07-22;57264.34198237588
15;PB;1470.1059749240121;238;2020-11-12;61764.51707481881
16;PE;1474.6793614971975;188;2020-09-16;102933.3954506152
17;PI;330.5284813318103;312;2021-01-26;16956.663546758737
18;PR;2756.944253462403;285;2020-12-22;106965.16151303973
19;RJ;5003.230316927016;235;2020-10-26;216856.64373172182
20;RN;714.6675173069489;281;2020-12-19;27381.01798412304
21;RO;164.48375032824242;117;2020-07-15;9748.145050088491
22;RR;0.31532442446623143;36;2020-04-27;11.849512505674177
23;RS;1193.8640892390831;399;2021-04-13;37908.97223865817
24;SC;1.8143454088597757;34;2020-04-16;57.84322117047037
25;SE;588.2863813306794;125;2020-07-18;26686.10360086145
26;SP;6215.079932841967;220;2020-10-03;331877.3966021261
27;TO;53.04572571445601;118;2020-07-15;2895.0274347292548
