;Estado;deaths_7d
0;AC;47.53594792041029
1;AL;155.6635248025412
2;AM;975.1890678715378
3;AP;66.29876693963182
4;BA;188.135224610144
5;Brazil;10151.471688913702
6;CE;723.7504082322106
7;DF;39.52913413752536
8;ES;181.9063987665608
9;GO;47.80632882801946
10;MA;367.17794881739985
11;MG;110.56854846698099
12;MS;10.877458222994688
13;MT;14.74957014732936
14;PA;634.2740403465317
15;PB;125.21953860475298
16;PE;1037.378819852852
17;PI;42.07267650626265
18;PR;99.659840842466
19;RJ;1425.4297944886894
20;RN;80.82216641166265
21;RO;45.13476297116878
22;RR;15.420602992537846
23;RS;72.88768513582646
24;SC;89.75687844677309
25;SE;28.876455116386598
26;SP;3541.354795034256
27;TO;12.769762996839187
