;Estado;cases_7d
0;AC;1422.2883655782055
1;AL;2992.762824319927
2;AM;9527.262806342042
3;AP;2204.4189026617537
4;BA;5776.917630859924
5;Brazil;139186.05781791973
6;CE;12198.87791339778
7;DF;2239.495652672571
8;ES;4640.816297330131
9;GO;1009.4588175728748
10;MA;7009.090341011098
11;MG;2563.580411090921
12;MS;458.73987286455787
13;MT;590.2653852586693
14;PA;8231.526143776677
15;PB;1627.5379744235202
16;PE;12361.178864929436
17;PI;931.1733592901164
18;PR;1959.1313932376504
19;RJ;15111.192723349097
20;RN;1767.7288731859326
21;RO;1488.475228077702
22;RR;1619.7154102197876
23;RS;2098.994982978714
24;SC;2855.4853099646257
25;SE;1052.1654765446174
26;SP;41333.3421740246
27;TO;520.1330762562563
