;Estado;max_cases;diamax;datamax;totaldeaths
0;AC;4.770636704743723;60;2020-05-18;211.53650259086945
1;AL;19.458943009816664;84;2020-05-31;1129.7070174024975
2;AM;30.5874608978811;51;2020-05-05;1289.5779045973966
3;AP;3.1298314682737214;42;2020-05-01;92.34894964034687
4;BA;10.297800093455294;73;2020-05-18;600.3717065026663
5;Brazil;345.8984000593364;70;2020-05-06;17081.014992851913
6;CE;36.021112216856466;44;2020-04-30;1119.9251673349306
7;DF;1.8151626255550468;55;2020-05-01;78.16752843647323
8;ES;6.864443982963323;62;2020-05-07;298.18548384121874
9;GO;1.301745263587037;44;2020-04-26;57.860445511537904
10;MA;19.045405135717488;50;2020-05-10;790.890782668632
11;MG;3.32065853527871;49;2020-04-26;143.97230586693928
12;MS;0.7874410647823957;55;2020-05-10;42.06437486391493
13;MT;1.3330882797038441;59;2020-05-18;78.58593421706968
14;PA;48.3298043748058;61;2020-05-19;2074.7299699661685
15;PB;6.730277812359844;58;2020-05-16;366.2302295350719
16;PE;42.19767940775148;56;2020-05-07;1880.9197043905774
17;PI;1.9029700260991191;48;2020-05-07;85.31748483640678
18;PR;3.1280002659547463;43;2020-04-24;149.54287407709353
19;RJ;44.15999561999013;58;2020-05-02;2062.715411721201
20;RN;2.7225729198182407;49;2020-05-01;129.81426607162518
21;RO;4.925622705384868;67;2020-05-26;257.79017269310293
22;RR;3.717398395477119;73;2020-06-03;220.00651876279903
23;RS;2.2430723742661556;47;2020-04-26;96.95869667748354
24;SC;2.229483245068387;44;2020-04-26;94.4226176555716
25;SE;4.912975488755535;93;2020-06-16;394.24967549566713
26;SP;106.87984546864845;64;2020-04-30;4897.42794078229
27;TO;2.335677439608837;77;2020-06-04;128.79449259959688
