;Estado;deaths_7d
0;AC;57.337210948659475
1;AL;143.3693498678009
2;AM;760.7742041725389
3;AP;65.90838224173274
4;BA;200.52168122202184
5;Brazil;9493.9320450095
6;CE;847.4637942886761
7;DF;52.81079146625375
8;ES;157.7086641551121
9;GO;42.521323417606006
10;MA;376.4558956242859
11;MG;109.36114312147377
12;MS;19.19820990353844
13;MT;24.722477251521106
14;PA;581.2632107999485
15;PB;130.56061446780532
16;PE;1015.326890072319
17;PI;45.285162267773416
18;PR;111.44304938399134
19;RJ;1306.5450188110601
20;RN;82.23834497987579
21;RO;47.102503073798616
22;RR;22.86540196338915
23;RS;72.80537201867128
24;SC;71.36965249455183
25;SE;31.375206317672237
26;SP;3330.275578837809
27;TO;11.484437573510867
