;Estado;cases_7d
0;AC;506.83814435923796
1;AL;939.3114047632657
2;AM;5653.830289800282
3;AP;1305.6385411052006
4;BA;3453.87033272723
5;Brazil;90317.42907320813
6;CE;9157.972851613566
7;DF;1169.88125193822
8;ES;1986.6308395608226
9;GO;740.9061409342357
10;MA;3846.3654786217353
11;MG;1995.7808386810025
12;MS;276.97149746225926
13;MT;309.6494696282251
14;PA;4211.091719118759
15;PB;840.0624573325008
16;PE;7792.542031708485
17;PI;530.0059851170197
18;PR;1500.164187090638
19;RJ;11334.171427254942
20;RN;1063.1439041772605
21;RO;711.4160356604367
22;RR;445.6982738120542
23;RS;1359.1755623098281
24;SC;1623.0236779721035
25;SE;335.69977430196684
26;SP;27207.362116775563
27;TO;126.32546131307976
