;Estado;deaths_7d
0;AC;22.34744807948104
1;AL;51.763415113778784
2;AM;448.7238010828753
3;AP;37.366540825969274
4;BA;109.65510100946061
5;Brazil;6155.5592651332
6;CE;523.7893548620299
7;DF;29.09982550683517
8;ES;60.11125290760642
9;GO;33.72802395500927
10;MA;192.22192951906948
11;MG;72.86737198212144
12;MS;9.354910427254538
13;MT;10.371586647154947
14;PA;213.2736358780027
15;PB;83.90624573325006
16;PE;691.137535534314
17;PI;34.05766279192074
18;PR;79.02017931348493
19;RJ;629.7422105321019
20;RN;56.028270382533314
21;RO;18.922470076646906
22;RR;5.799904733646808
23;RS;39.83355074523747
24;SC;52.845408595982725
25;SE;17.667266946205586
26;SP;2110.6080129847337
27;TO;3.722076606726756
