;Cases;S;U;Q;I;uC;Rt;M;date
7;4.603287819760746;2470399.7463550847;55.28665930574135;5.789484423984125;89.5379880211533;23.85855647166707;3.130114795739214;0.08897323781068349;2020-03-14
8;6.000107598878757;2470371.439084221;72.03064117316902;7.717669258397085;117.84525888407012;32.09684085362526;3.0191770001283134;0.12346384322515336;2020-03-15
9;7.850519751947878;2470336.165251247;92.36417188376159;10.163316295068258;153.11909185786476;42.741083927087026;2.911299976451923;0.1691546591627294;2020-03-16
10;10.27062429994558;2470292.9068469405;116.61901077870087;13.207655530419668;196.37749616421223;56.28020555514614;2.8063992318199853;0.22891245488885972;2020-03-17
11;13.39333949008364;2470240.6754101673;145.0439644;16.93045517121056;248.6089329376892;73.24117387639501;2.7043926070775375;0.30601927930169165;2020-03-18
12;17.36765460652217;2470178.5581905497;177.77647260514473;21.405665190095924;310.7261525555027;94.17636015373988;2.6052002123092146;0.40415401115693333;2020-03-19
13;22.35692309049433;2470105.766778353;214.8167159742;26.696586134623608;383.5175647519239;119.64733955260596;2.508744364127191;0.527350212384977;2020-03-20
14;28.536123443564556;2470021.685239271;256.006538629964;32.850827854674534;467.59910383426313;150.20561390606005;2.4149495246932093;0.6799284936642342;2020-03-21
15;36.088077020754376;2469925.9145404953;301.0153207210143;39.89537940969488;563.3698026098886;186.37102545842495;2.3237422424267273;0.8664031232715818;2020-03-22
16;45.19868200007868;2469818.3100879854;349.33454742863125;47.832142993271624;670.9742551193751;228.60888269739348;2.2350510943525252;1.0913643431272972;2020-03-23
17;56.05129763482255;2469699.0095072426;400.28223763090705;56.63428791011342;790.2748358620861;277.3070126862431;2.148806630042421;1.3593397034198091;2020-03-24
18;68.82048380910102;2469568.4483764865;453.017673675449;66.24375144951017;920.8359666184458;332.7540576843857;2.0649413171069777;1.6746394782261431;2020-03-25
19;83.6653639521159;2469427.362416968;506.56606797340504;76.57015331183453;1061.9219261366802;395.1203408993248;1.9833894881943448;2.041192781015942;2020-03-26
