n1;R1;n2;R2;beta;gamma1;gamma2;eta;N;So;Uo;Qo;Co;R1o;R2o;nCo;NSE;RMSE;MARE;NSE_deaths;RMSE_deaths;MARE_deaths;Estado
0.1;1.4999978814758013;0.026193092027925198;0.9999992063315253;0.3352491025022471;0.0012321874064946947;0.11939399499372488;0.04172643015816899;899999.999351324;706440.5301438964;28.006824649048298;6.0;3.0;1.8501720171812486;7.429478233047709;8.94340267877918;0.9600051154011213;34.6086923995218;0.20118286561995335;0.9759667882537579;1.1469359326514788;0.15354933847313332;AC
0.020232294990374627;1.4999998372350016;0.02089954639383647;0.999999888193806;0.16164955136376155;0.002197130821653265;0.10922159310997426;0.04716755120393619;3400000.0000919662;2720839.6541696703;6.101931933159403;1.077734322703334;1.0;1.9030625916144195;7.384362619833459;2.9999457153665423;0.9898337606197752;40.053056034696795;0.1158162598858706;0.9899619895141136;1.825079627141892;0.09855930742937127;AL
0.02577980683137753;1.500000050540546;0.021937639620822586;1.0000000052164648;0.28642480073247445;0.0533766096069416;0.056085887970295484;0.08281742376532705;4139999.9117600466;3336304.531994254;6.924352750907364;1.007302889832883;1.0;1.729527914611205;6.8109583129063935;3.0004646026688206;0.9237080429178973;547.635559983267;0.251232473995977;0.9478544384988872;37.772373000661624;0.19698134808337175;AM
0.039455713241834486;1.4999999608701662;0.02402036579576993;0.999999979826826;0.24217699892433256;0.017077453506194412;0.10102323025084861;0.0354924290439382;850000.0001840715;665955.7490206494;7.465107908381982;1.0410570363004499;1.0;1.7483158012574123;6.965255080460085;3.0008046038144336;0.9137568118275718;128.94497966835186;0.2572229510754497;0.9552188219586253;2.834559849847884;0.18051541742683294;AP
0.014902023848708132;1.4999999884028417;0.02042702970224461;0.9999999927992034;0.150910097470129;0.0010711573447514944;0.15185097251507335;0.035914503572432616;14869999.99999476;10540986.88158953;5.984073739206247;1.0011738685131952;1.0;1.9270330167309933;7.596031527770188;2.9999181925999117;0.8562788106579928;392.6292934111356;0.350900668406048;0.9063501223465652;11.5028663855391;0.27707470483353125;BA
0.019715124328283873;1.4999998997944173;0.024548330011696783;0.9999999483357612;0.20347062904076946;0.07615001992997561;0.05;0.06652703948142316;210200000.0;168160000.0;6.130864129039539;1.007621045036521;1.0;1.6484393004946374;6.991183109389369;3.1399551917266812;0.9612263211294986;5728.154099265318;0.18271830627038743;0.9813088315114202;277.37469651202036;0.1286349001377239;Brazil
0.0966851959581585;1.4999998485926858;0.03;0.999999918826659;0.3611182687985439;0.03920737923428602;0.07301201661299817;0.06786143772960969;9130000.00049876;7383836.7693977365;32.47182732353044;5.093911598573019;5.0;1.52489407836251;6.865410554959901;15.000498736262387;0.9080244424298086;823.628804236657;0.26229318884706837;0.9868012551029786;22.07743373960734;0.10384484705872508;CE
0.05665815928113807;1.499999904641597;0.03;0.999999957488489;0.4436587761863316;0.007745497465114465;0.14860543852256594;0.02405555223431376;3100000.000063026;2088736.2382599462;7.771685671884914;1.022166800851005;1.0;1.8017627241312375;7.088511162861102;3.000062748128697;0.7854406136058714;221.0684712526722;0.31980834528508423;0.7752851041524249;5.546931260487556;0.34072590925135615;DF
0.1;1.4999988896331908;0.02754716988670275;0.9999993569148012;0.4029508854453697;0.003789626537908264;0.11960361614823237;0.03444759709871061;4020000.0023776465;3211894.622643968;10.823407099154764;1.3474372976042381;1.0;1.769961420537724;7.234131922455601;3.0102466420381155;0.9863167196393834;103.44965256438937;0.10310514526755965;0.9940368413667537;2.3895930749609313;0.07842041804848136;ES
0.1;1.4999997748003284;0.029607386340676514;0.99999987784492;0.3265915393544938;0.012307049098514017;0.10285547763759531;0.04356117186767733;7020000.000573903;5347451.594969451;21.00716119728416;4.729434145815336;3.0;0.8609420626117226;6.411559724160794;9.023738417848417;0.9359985619858007;66.91073395389304;0.20614445021156896;0.8372719660138318;4.403231275340446;0.28337763861065046;GO
