;n1;R1;n2;R2;beta;gamma1;gamma2;eta;N;So;Uo;Qo;Co;R1o;R2o;nCo;NSE;RMSE;MARE;NSE_deaths;RMSE_deaths;MARE_deaths;Estado
0;0.01069116957067979;0.4427993264264012;0.006983723608498619;1.6917963275386556;0.5;0.00477105576437567;0.09496900194857513;0.04510768929272117;900000.0001782923;718558.4408202489;30.783834714822504;6.0;3.0;-3.0;10.0;8.998765381734485;0.9606395202340763;20.623169599736435;0.16684395914339378;0.9878683598666597;0.5847364605538498;0.11625161912126793;AC
1;0.009000000000000001;1.0055748020773265;0.006087385308067211;1.9365952697557403;0.0689240731377524;0.0010000000000000009;0.10979411567034078;0.052127047851808855;3399999.9983779355;2721609.079125033;5.401146245208883;0.8658914747658676;1.0;-3.0;10.0;3.0014190395078053;0.9770701818736732;36.61131021238345;0.16891170512064121;0.9850304503641412;1.4922285938441358;0.1278346683087997;AL
2;0.011000000000000001;0.8822998440801667;0.007333333333333334;1.8701358999412134;0.22360153998734458;0.039334800022462105;0.06675764887048566;0.07998260422613833;4140000.0371194566;3316869.636056885;6.102593226912068;0.9660817707841405;1.0;-3.0;10.0;2.9929193195870307;0.9275608631109087;392.00932527205384;0.23210684530096332;0.9634923690647985;23.161302608282714;0.1644635309039047;AM
3;0.011000000000000001;0.5300531756100438;0.007333333333333334;1.7831045001444403;0.5;0.00969020174462304;0.11300734393482612;0.028823498881563075;850000.0000394934;667176.5954275605;12.0;1.7173183404516135;1.0;-3.0;10.0;2.9987836098181484;0.9372162999973797;78.530985944503;0.18668427807916113;0.9778419557609044;1.4058581906185983;0.127894171933493;AP
4;0.010001870632046887;0.9284571942045101;0.006679224158274279;1.8726256951239402;0.15395152105535145;0.03161049323088584;0.05384947371451321;0.033853851318217575;14870000.000001123;11868759.075162165;5.962804386751431;2.0;1.0;-3.0;10.0;3.0000020317603457;0.9820453996045929;107.58166808778128;0.1237584553269189;0.9921492872279415;2.491627776446497;0.0811053592528441;BA
5;0.00987344812377561;1.0063505688517596;0.006676649552071147;1.9258721267145664;0.16796271647589825;0.03596011401697553;0.07470744117513792;0.06757884109247822;210200000.0;168160000.0;6.431077727929029;1.103844218803888;1.0;-3.0;10.0;3.669157163207633;0.9881994718788314;2446.1561127793207;0.10533360487636485;0.9925895511434417;133.47597491815438;0.0601967781105709;Brazil
6;0.011000000000000001;0.9188721415442095;0.007333333333333334;1.8990356918946913;0.4675093340849864;0.02199747063707977;0.07189135138737396;0.06082090778915321;9130000.02627354;7312368.489474619;29.110303157045845;4.920721624536115;5.0;-3.0;10.0;15.516608123822017;0.9181344666172477;634.0596916147665;0.25636265983423756;0.9695998677402087;23.863177159369286;0.15793041961890025;CE
7;0.010175810381379;0.8056197553566866;0.007333333333333334;1.7910441810332765;0.2917833579849145;0.01752309621698417;0.07397794701863886;0.02492599399446404;3100000.0002183155;2569341.336863344;5.862224989898222;1.0075156719555214;1.0;-3.0;10.0;2.9995883030254045;0.7558036308895695;193.11236945781184;0.3306173491806779;0.8510291186423067;4.130470377393303;0.2881091188592988;DF
8;0.009998167913679357;0.9397599623599925;0.00670205234355716;1.8956589360641651;0.18256297997668638;0.01363820888481404;0.08127760964960007;0.03174151313179095;4020000.019143729;3108795.979983784;6.305862388588382;1.0029577788822452;1.0;-3.0;10.0;3.000108315197518;0.9911910746695707;60.83459238678598;0.08432056018081882;0.9880655365106406;2.3019310516923905;0.09974604206786138;ES
9;0.01070699273590881;0.6115218132808369;0.006607693080510514;1.7247702507633003;0.4367257128664248;0.005253839149538114;0.09621098467837802;0.03961641672936126;7020000.00365303;5616372.1292857975;16.617664564561096;5.000686275295774;3.0;-3.0;10.0;9.204586927758886;0.910064529681296;64.58004933168218;0.24102083588056075;0.8261431370967055;4.103869022438771;0.30504179822223243;GO
10;0.011000000000000001;0.9182452632265906;0.007333333333333334;1.828221066633031;0.5;0.04130336590080978;0.08328549185338519;0.052390714680329464;7080000.0006687;5106115.288554628;6.071603787383353;1.0153394937171178;1.0;-3.0;10.0;2.999720391779409;0.942957824257173;218.99110648856927;0.21712983634086594;0.9786988675341307;7.176857164227736;0.12067957275702279;MA
11;0.011000000000000001;0.9204719011379816;0.007237640744526702;1.9183583249359084;0.2086812484892299;0.0322320464471008;0.050724284353759475;0.037367385228844474;21169999.888290703;16915894.74137346;6.329608484494472;2.0;1.0000000000000007;-3.0;10.0;5.999544328392014;0.8451341426250305;220.87199358649696;0.29638665870526776;0.9829894568172753;3.118592721035143;0.10985209428022605;MG
12;0.011000000000000001;0.9324214209866284;0.007333333333333334;1.8821875235862913;0.49812815343749905;0.01318971236294142;0.05;0.035840618652750476;2800000.2274386524;2239659.1785484804;13.555212616778636;2.253672083054003;2.0;-3.0;10.0;5.656646472596759;0.8229797977090719;32.6235803271154;0.28222469661261335;0.9385306426696235;0.7466750196783198;0.18469549010093286;MS
13;0.010366862614695877;0.7691070217680707;0.007333333333333334;1.8058939509935037;0.30578634716408476;0.008079737573458784;0.09410597001429336;0.02896036347578807;3489999.99761182;2789861.309785103;7.086705964698872;1.2599457235987113;1.0;-3.0;10.0;2.9771358028057158;0.561106283154304;61.10074357312389;0.43372806483660015;0.8165926804261685;1.5439816271077393;0.3396051979400599;MT
14;0.011000000000000001;0.9546960007625901;0.007332807416087952;1.9290577475087998;0.28001748420347367;0.014674429216573887;0.09280143749574224;0.05733928885945662;8599999.999660665;6873432.014007196;7.186991300599159;1.1746379967267746;1.0;-3.0;10.0;3.000604637267129;0.9831563825787194;99.74571650584112;0.13773411536942212;0.9739242272428569;7.420194288610805;0.13466650169283162;PA
15;0.010827480596804927;0.8652478949934236;0.007333333333333334;1.8937570253196632;0.29900170639557533;0.02699253405968345;0.05619996100330374;0.0939252766048502;4020000.0000240547;3198826.348356173;7.039379257830275;1.3329334021192665;1.0;-3.0;10.0;3.000119513693795;0.9923496295675213;18.323209173134423;0.08628224296740239;0.9264683589794761;5.260055025539176;0.22087197617410456;PB
16;0.011000000000000001;0.9050559910057336;0.007333333333333334;1.9202795809822102;0.3270287755816825;0.0147376889527219;0.08724076165748423;0.08621559018419622;9599999.999241147;7680270.161785241;13.928715992482045;2.1967534027464373;2.0;-3.0;10.0;6.0016327110460015;0.9972486824152221;99.68501765203251;0.048667351775299864;0.9936771892026938;12.971266265743179;0.06653480854736979;PE
17;0.010270922166746375;0.8420102683528097;0.007333333333333334;1.8478627725362589;0.3054454839880802;0.002343386871474229;0.1040925127878497;0.05672939301912751;3300000.0003746836;2599801.959848309;19.480285488788986;4.723302580021508;3.0;-3.0;10.0;9.008458831242617;0.9933423978635937;11.114212689606683;0.08450874391989541;0.7597446418348004;3.3828981837446985;0.36704117234480566;PI
