;Estado;max_cases;diamax;datamax;totaldeaths
0;AC;1.843598617515525;61;2020-05-19;109.14774949261542
1;AL;66.64252211178291;101;2020-06-17;4522.380749745871
2;AM;21.186509985159375;44;2020-04-28;778.3329898307708
3;AP;2.3085210196930106;47;2020-05-06;101.49941277744415
4;BA;5.655983190543196;59;2020-05-04;264.03127229627074
5;Brazil;291.5069489562529;67;2020-05-03;13416.006119537495
6;CE;33.1104136518594;50;2020-05-06;1438.7326322109154
7;DF;1.7140762747093348;53;2020-04-29;78.07639818307995
8;ES;7.123343801796295;71;2020-05-16;393.0988859452808
9;GO;1.3264024408652695;45;2020-04-27;62.64091131152313
10;MA;16.214815152623885;49;2020-05-09;670.129807122432
11;MG;2.5176713660896226;43;2020-04-20;99.06229006752554
12;MS;0.3469606323911396;38;2020-04-23;14.99560613154996
13;MT;0.6733033764598879;45;2020-05-04;32.709627754925755
14;PA;55.72828526268495;68;2020-05-26;2811.514669922449
15;PB;4.894608714744024;49;2020-05-07;224.88145343977448
16;PE;57.013944431775144;63;2020-05-14;2965.104585654622
17;PI;2.2804272253924935;56;2020-05-15;133.5985183742406
18;PR;3.0178826177473184;38;2020-04-19;121.26037541360695
19;RJ;46.525222980061244;58;2020-05-02;2177.9786837202387
20;RN;2.428249035377412;47;2020-04-29;110.9166228238319
21;RO;4.785536941989335;72;2020-05-31;278.20128943674735
22;RR;0.487382092798887;43;2020-05-04;19.082002294910218
23;RS;1.5690567569515714;43;2020-04-22;70.21296130314354
24;SC;1.7741940303372203;37;2020-04-19;69.15868994190427
25;SE;1.4024455865294456;67;2020-05-21;91.39626409355586
26;SP;93.92597163772916;62;2020-04-28;4236.025885531295
27;TO;13.923143879084364;136;2020-08-02;1541.6947923562232
