;Estado;cases_7d
0;AC;555.4514249008987
1;AL;1738.551081744601
2;AM;6015.831056573684
3;AP;1393.3637964681402
4;BA;3793.575600023769
5;Brazil;102843.9991569154
6;CE;9556.211198883311
7;DF;1178.0487149970156
8;ES;3249.292699564461
9;GO;749.8465812477283
10;MA;4772.004437316577
11;MG;2048.301193753133
12;MS;278.594315210807
13;MT;317.48817152532763
14;PA;4875.728337942657
15;PB;868.3786761064849
16;PE;9490.534053232515
17;PI;611.4800779936186
18;PR;1565.5093297177539
19;RJ;11230.819850588858
20;RN;1143.4388640589384
21;RO;907.5061121109596
22;RR;463.13264238871216
23;RS;1512.243878160439
24;SC;1968.6172395837295
25;SE;330.46344253205643
26;SP;30573.41162585101
27;TO;147.73719889801717
