;Estado;deaths_7d
0;AC;24.45864934127234
1;AL;94.12807422164562
2;AM;476.49334453979833
3;AP;39.73919973944169
4;BA;125.91672107643906
5;Brazil;6814.96847353123
6;CE;548.5048504084658
7;DF;29.063966153317885
8;ES;101.16136452960964
9;GO;34.08350008227092
10;MA;241.985066758162
11;MG;74.75272133504356
12;MS;9.38273856748089
13;MT;10.719611867588542
14;PA;255.5419087086213
15;PB;86.73786761064852
16;PE;827.5326103224513
17;PI;38.280694002607696
18;PR;82.38485842441884
19;RJ;946.8886087902174
20;RN;56.54552547970168
21;RO;24.38239154372631
22;RR;6.227179954254372
23;RS;44.31298327201014
24;SC;56.56909941164154
25;SE;17.329987984589575
26;SP;2412.266606048932
27;TO;4.41179261696169
